CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
867,4,10
867,4,14822
867,4,15331
869,3,4204
869,3,39
870,7,18313
872,3,15503
872,3,67
874,6,359
874,6,14734
875,9,15262
876,4,1539
877,7,830
878,5,15749
879,9,238
880,6,15
880,6,366
880,6,15688
880,6,195
880,6,398
880,6,141
881,3,18619
881,3,14734
882,4,195
883,3,16955
884,3,18940
884,3,19205
884,3,142
884,3,51
884,3,6794
887,4,19
887,4,16
887,4,46
887,4,2627
887,4,10
888,3,6841
888,3,15402
889,3,15352
889,3,312
889,3,6536
889,3,16
889,3,46
889,3,15402
889,3,131
889,3,77
890,3,15264
890,3,6964
890,3,647
890,3,15405
890,3,6097
890,3,27
891,7,1111
891,7,19349
891,7,23499
891,7,23582
891,7,1082
891,7,20323
891,7,449
891,7,23244
891,7,127
891,7,4858
892,3,67
892,3,14985
892,3,667
893,4,21295
893,4,18483
894,5,5851
897,19,20108
898,4,6590
898,4,6841
898,4,15308
898,4,15419
898,4,2348
898,4,490
899,3,398
899,3,1495
900,4,548
900,4,384
901,5,384
901,5,963
902,6,60
902,6,742
902,6,387
902,6,383
902,6,398
902,6,1832
902,6,15743
902,6,6753
902,6,1795
902,6,15789
902,6,2705
903,13,7904
905,3,39
906,4,429
907,10,1
908,9,1767
908,9,5414
909,7,1575
909,7,46
912,5,119
913,3,100
913,3,690
913,3,1952
913,3,17551
913,3,149
913,3,42
913,3,908
913,3,19390
913,3,19389
913,3,18396
913,3,288
913,3,184
914,17,636
915,10,47
915,10,15296
916,3,6853
917,6,270
918,4,15107
918,4,50
919,11,73
920,9,238
920,9,2019
922,3,142
923,4,1181
924,4,5610
925,7,155
926,6,19631
926,6,21638
926,6,198
927,12,61
928,5,14918
929,8,62
932,3,67
932,3,5610
933,3,62
934,4,2047
935,6,897
935,6,142
936,9,163
937,3,16573
938,4,673
938,4,195
939,3,193
941,3,1615
942,3,1904
943,5,142
943,5,6086
946,3,14939
946,3,14918
947,4,778
948,14,14904
949,6,4352
951,4,15187
953,5,616
956,6,67
957,3,131
958,3,14950
959,3,616
960,4,32
961,3,6119
961,3,16
961,3,46
961,3,9
962,3,359
962,3,142
963,3,1235
963,3,193
964,4,18940
965,4,15454
965,4,15439
965,4,15440
965,4,15441
965,4,15500
966,3,94
967,8,16926
969,6,15975
971,4,2868
972,4,384
974,7,778
976,4,416
977,6,342
977,6,394
978,4,190
980,7,232
981,3,193
982,12,335
984,6,94
985,6,354
985,6,193
986,13,69
986,13,20761
986,13,324
986,13,968
986,13,1219
986,13,640
987,3,4079
987,3,14904
987,3,14905
988,3,14918
989,5,58
992,5,3869
996,5,14782
999,8,31
999,8,15055
1000,7,14769
1000,7,14782
1000,7,14932
1001,8,3090
1001,8,5261
1002,9,5638
1003,8,1
1004,3,14909
1005,9,4
1006,6,1998
1006,6,15726
1006,6,67
1006,6,15067
1007,3,185
1008,7,16932
1009,3,3770
1009,3,235
1011,5,3994
1011,5,103
1012,8,235
1014,3,457
1016,5,197
1019,5,106
1019,5,235
1019,5,127
1020,4,19
1020,4,5938
1020,4,2660
1020,4,791
1020,4,189
1021,4,3770
1022,3,235
1025,6,6119
1025,6,2507
1025,6,2500
1026,3,16109
1026,3,21395
1026,3,5320
1026,3,5488
1026,3,609
1026,3,1556
1026,3,5414
1028,9,16707
1028,9,74
1028,9,67
