CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER,placed_at,final_qty,price,amount,top_cat,sub_cat
52,3,94,2021-06-25,1,334500.0,4201250.0,rokok,rokok
52,3,662,2021-06-25,1,163500.0,4201250.0,rokok,rokok
52,3,59,2021-06-25,1,276500.0,4201250.0,rokok,rokok
53,4,22270,2021-06-27,3,94000.0,15000000.0,sabun cuci pakaian,deterjen
53,4,2450,2021-06-27,3,132500.0,15000000.0,skm,susu
53,4,4204,2021-06-27,30,0.0,15000000.0,minuman dalam kemasan,minuman segar
53,4,1343,2021-06-27,1,443500.0,15000000.0,minuman sachet,susu
54,4,487,2021-12-08,1,226000.0,13812500.0,rokok,rokok
54,4,94,2021-12-08,2,3625000.0,13812500.0,rokok,rokok
54,4,1558,2021-12-08,2,190000.0,13812500.0,bahan makanan,sagu
55,7,336,2021-10-06,1,226000.0,24885500.0,rokok,rokok
55,7,954,2021-10-06,2,203000.0,24885500.0,rokok,rokok
55,7,6379,2021-10-06,3,73500.0,24885500.0,rokok,rokok
56,5,19384,2021-07-14,30,35000.0,9950000.0,minuman dalam kemasan,teh
56,5,18730,2021-07-14,20,35000.0,9950000.0,minuman dalam kemasan,minuman segar
58,4,1489,2021-07-21,5,0.0,17656700.0,rokok,rokok
59,15,5345,2021-11-08,2,236000.0,5826500.0,rokok,rokok
59,15,1793,2021-11-08,1,167000.0,5826500.0,rokok,rokok
59,15,73,2021-11-08,10,24200.0,5826500.0,rokok,rokok
59,15,74,2021-11-08,2,242000.0,5826500.0,rokok,rokok
59,15,142,2021-11-08,1,122000.0,5826500.0,rokok,rokok
64,4,4294,2021-10-25,4,263000.0,50000000.0,minuman dalam kemasan,susu
64,4,2493,2021-10-25,10,15000.0,50000000.0,prt,tepung
64,4,596,2021-10-25,15,296000.0,50000000.0,minuman sachet,kopi instant
64,4,7861,2021-10-25,10,296000.0,50000000.0,rokok,rokok
64,4,5638,2021-10-25,20,296000.0,50000000.0,rokok,rokok
64,4,440,2021-10-25,1,10000.0,50000000.0,makanan ringan,biskuit
64,4,4996,2021-10-25,1,3000.0,50000000.0,makanan instant,snack
66,3,2118,2021-08-25,1,0.0,49549600.0,rokok,rokok
66,3,131,2021-08-25,1,0.0,49549600.0,rokok,rokok
69,4,300,2021-06-29,32,10500.0,100690000.0,makanan bayi,sereal
69,4,2374,2021-06-29,16,27812.5,100690000.0,minuman sachet,susu
69,4,1411,2021-06-29,10,146000.0,100690000.0,rokok,rokok
69,4,1321,2021-06-29,10,230000.0,100690000.0,rokok,rokok
70,5,2041,2021-11-10,30,108400.0,20977000.0,minuman dalam kemasan,minuman segar
71,3,15439,2021-05-10,25,1.0,24993800.0,pkrt,permen
71,3,6823,2021-05-10,3,47000.0,24993800.0,prt,plastik
71,3,50,2021-05-10,10,16500.0,24993800.0,makanan ringan,cokelat
71,3,242,2021-05-10,1,696800.0,24993800.0,perawatan tubuh,biskuit
72,6,1038,2021-10-19,2,3173000.0,85247750.0,makanan ringan,rokok
72,6,8258,2021-10-19,1,2320000.0,85247750.0,rokok,rokok
72,6,22958,2021-10-19,4,2558000.0,85247750.0,rokok,rokok
72,6,1178,2021-10-19,4,43500.0,85247750.0,bahan masakan,garam
72,6,2535,2021-10-19,4,56500.0,85247750.0,makanan ringan,kerupuk
72,6,6716,2021-10-19,50,18350.0,85247750.0,minuman sachet,kopi instant
72,6,3671,2021-10-19,1,1132016.0,85247750.0,rokok,rokok
72,6,8220,2021-10-19,3,193000.0,85247750.0,makanan ringan,minuman segar
72,6,2220,2021-10-19,1,1619000.0,85247750.0,rokok,rokok
72,6,2290,2021-10-19,10,15350.0,85247750.0,makanan ringan,teh
72,6,5430,2021-10-19,3,200970.0,85247750.0,bahan masakan,kaldu & penyedap
75,3,3019,2021-06-28,200,111500.0,500000000.0,,
75,3,856,2021-06-28,100,199000.0,500000000.0,,
75,3,2936,2021-06-28,80,150000.0,500000000.0,,
75,3,15333,2021-06-28,200,102500.0,500000000.0,,
79,4,51,2021-10-01,2,240000.0,6208000.0,rokok,rokok
80,6,4194,2021-11-29,1,56000.0,4812000.0,sabun cuci pakaian,deterjen
80,6,5056,2021-11-29,5,201500.0,4812000.0,minuman dalam kemasan,kopi instant
81,3,256,2021-07-02,10,0.0,55448900.0,rokok,rokok
82,3,4941,2021-07-27,300,457000.0,510975000.0,,
82,3,4939,2021-07-27,400,465000.0,510975000.0,,
84,4,139,2021-07-20,20,41500.0,29895000.0,minuman dalam kemasan,soft drink
84,4,19017,2021-07-20,100,25500.0,29895000.0,minuman dalam kemasan,kopi instant
84,4,34,2021-07-20,25,35000.0,29895000.0,minuman dalam kemasan,minuman segar
84,4,141,2021-07-20,30,41500.0,29895000.0,minuman dalam kemasan,soft drink
84,4,184,2021-07-20,400,50000.0,29895000.0,minuman dalam kemasan,teh
85,3,477,2021-12-23,1,195500.0,4203900.0,bahan makanan,terigu
86,13,3288,2021-11-09,250,17200.0,5950000.0,minuman dalam kemasan,teh
88,3,169,2021-07-09,5,0.0,5000000.0,minuman bubuk,kopi instant
88,3,26,2021-07-09,3,0.0,5000000.0,minuman dalam kemasan,botol
88,3,16,2021-07-09,2,0.0,5000000.0,minuman bubuk,kopi instant
88,3,5,2021-07-09,1,0.0,5000000.0,minuman bubuk,kopi instant
88,3,22,2021-07-09,2,0.0,5000000.0,bahan masakan,kaldu & penyedap
88,3,56,2021-07-09,2,0.0,5000000.0,bahan masakan,kaldu & penyedap
